Llave,Edad,Sexo,Edo Civil
68370623,16,F,S
17714801,62,M,S
73690212,27,F,S
17327632,61,M,S
01410832,24,F,S
12136738,40,F,C
52806032,63,F,C
26663948,37,M,S
82513429,15,M,S
57879669,54,F,C
78969103,69,F,C
54399005,13,M,C
42695951,49,M,C
69086949,34,F,S
56120264,47,M,S
43197459,26,F,S
99930352,25,M,C
96985504,70,M,S
60824292,4,M,S
17476731,45,F,C
30057275,41,F,S
80493850,32,M,C
67696950,23,M,C
42258831,7,F,S
14572078,37,M,C
61972530,4,M,C
18142409,1,F,C
79750344,6,M,S
43600443,42,M,S
52559085,23,F,S
55355889,43,M,C
15409835,39,M,S
08996027,59,F,C
77683044,45,M,C
80167451,68,F,S
00055053,57,M,S
48474558,60,M,S
15905382,3,M,C
43707933,54,F,C
97569816,44,M,C
03201339,22,F,C
40410611,37,M,S
65567151,38,M,C
74551527,56,F,C
43890247,45,M,S
37637514,9,M,C
82243005,24,F,S
89912522,65,M,C
81062662,41,M,S
03994279,59,F,C
68892805,35,F,S
60274082,28,F,C
22486516,12,M,S
61338241,43,M,C
88631963,7,M,S
31638109,63,F,S
44775232,32,F,S
17941200,54,F,C
40324036,15,F,S
96615529,62,M,C
46603545,58,F,S
51904402,57,M,C
83170763,44,F,C
36150894,28,F,S
06075774,12,M,S
61945527,24,M,C
68444083,54,F,S
62232136,66,M,S
56740829,5,F,S
49382319,9,F,S
38403282,26,F,S
95847028,24,F,C
00004529,62,M,C
07464538,21,F,S
20537939,66,F,C
33153660,68,M,S
62384809,23,M,C
06406496,42,M,C
30946646,66,F,C
07785186,39,F,S
88192746,59,M,C
44053770,14,M,S
03580686,36,F,C
25235951,14,M,S
25663357,16,M,C
76250346,28,F,S
91260226,17,F,C
05139152,45,F,S
86985423,3,F,S
62465201,47,F,S
15034884,68,F,C
31475950,35,M,S
43071693,37,M,C
99402369,20,M,C
72097507,36,M,S
51587860,67,F,C
62131938,47,M,C
67097014,54,F,S
56321268,14,M,S
69681842,52,F,C
31676845,34,M,C
96572706,59,F,C
30209083,68,F,C
00430251,64,F,S
75208815,67,M,S
45756018,5,M,S
44969580,43,M,S
66652759,62,F,C
88895426,69,F,C
71261541,25,M,S
75106586,60,F,S
05622661,20,M,S
76050973,56,M,S
95004444,35,M,C
80346426,45,F,C
34717744,14,M,C
33657048,66,F,S
19621591,64,F,S
38243736,34,M,C
47589726,25,M,S
45910588,51,F,C
66110783,26,M,S
76047428,33,M,C
31578588,25,M,C
47100740,59,F,S
58084189,21,M,S
83526584,27,F,C
20713541,31,F,S
70466697,4,F,S
43182206,50,M,S
94303973,32,M,C
97543198,55,F,C
06750731,32,M,C
46758027,51,M,S
31886693,34,F,S
68432917,19,F,C
17806868,17,F,C
81255966,48,M,C
39181487,9,F,S
60232462,0,F,S
75872066,37,F,C
32849049,27,M,S
35580809,57,M,C
99127663,22,M,C
83267972,53,F,S
19962743,20,F,S
61607916,53,F,C
55069778,65,M,C
84367384,49,F,C
20318262,51,F,S
38043070,10,F,S
96591698,61,M,C
39492129,56,M,C
75577060,52,F,C
32397372,20,F,C
44613774,46,M,C
38051321,64,F,C
45312783,34,F,C
30814044,61,M,S
02049604,5,M,C
75376341,13,F,C
57754238,28,F,S
50297347,9,F,S
91893124,53,M,S
79143084,49,F,S
83202839,41,M,C
54743205,7,M,C
01300821,24,F,S
14990603,1,F,S
63520878,53,M,S
06633558,42,M,S
68289475,16,M,S
83214011,37,M,C
54077750,26,M,C
20268563,69,M,S
11124655,34,M,C
00087795,22,M,S
14751379,5,M,S
84906742,39,F,S
66941578,29,M,S
68358533,45,M,S
97494617,15,M,C
23127575,65,M,S
93124486,69,F,S
46942851,48,M,S
97556551,33,M,C
40654485,38,F,C
35726009,66,F,C
05691686,54,M,C
61612476,3,M,C
63957187,10,F,S
12766630,57,M,C
68393528,36,M,S
58905854,11,F,C
64979557,45,M,S
62691703,27,M,C
93439066,55,M,C
87099285,39,F,S
79197006,55,M,C
98196173,50,M,S
80682440,17,M,C
94984734,7,M,S
45595924,44,M,C
38132660,38,M,S
34107437,16,M,S
