Mes,Scorecard,Decision,Rango Original,Casos,Sumas,Global (Preg.1.a)
200501,4,D,245-249,170,41978,Mas de 219
200501,2,A,125-129,3,382,Menos de 165
200501,4,D,150-154,1356,206146,Menos de 165
200501,4,A,135-139,50,6888,Menos de 165
200501,2,D,190-194,795,152437,190-194
200501,4,A,175-179,1092,193355,175-179
200501,4,D,130-134,404,53471,Menos de 165
200501,3,A,220-224,1945,431418,Mas de 219
200501,2,D,165-169,1616,269906,165-169
200501,4,D,185-189,2817,526735,185-189
200501,4,A,160-164,443,71838,Menos de 165
200501,3,A,230-234,1376,319260,Mas de 219
200501,3,A,210-214,2684,569149,210-214
200501,3,A,120-124,22,2690,Menos de 165
200501,4,D,145-149,1155,169771,Menos de 165
200501,3,A,250-254,468,117859,Mas de 219
200501,4,A,200-204,3604,728071,200-204
200501,2,D,135-139,196,26820,Menos de 165
200501,3,D,125-129,797,101395,Menos de 165
200501,2,A,220-224,83,18378,Mas de 219
200501,3,D,170-174,3953,679983,170-174
200501,3,D,215-219,629,136327,215-219
200501,3,A,240-244,774,187063,Mas de 219
200501,4,D,200-204,2046,413374,200-204
200501,4,A,165-169,628,104852,165-169
200501,4,D,195-199,2090,411630,195-199
200501,2,A,215-219,141,30542,215-219
200501,2,A,180-184,861,156854,180-184
200501,4,D,Mas de 264,20,5428,Mas de 219
200501,3,D,250-254,53,13339,Mas de 219
200501,2,D,225-229,12,2728,Mas de 219
200501,2,D,125-129,56,7127,Menos de 165
200501,4,D,235-239,291,68889,Mas de 219
200501,3,D,190-194,2144,411478,190-194
200501,4,D,140-144,742,105390,Menos de 165
200501,4,A,Menor que 120,2,231,Mas de 219
200501,3,D,180-184,2638,480194,180-184
200501,4,A,225-229,2323,526801,Mas de 219
200501,3,D,220-224,499,110698,Mas de 219
200501,2,A,170-174,222,38251,170-174
200501,3,A,260-264,206,53908,Mas de 219
200501,3,D,255-259,25,6437,Mas de 219
200501,4,A,130-134,12,1587,Menos de 165
200501,3,D,175-179,2688,475818,175-179
200501,3,A,195-199,3862,760339,195-199
200501,4,D,120-124,195,23869,Menos de 165
200501,3,D,135-139,1507,206614,Menos de 165
200501,4,D,190-194,2806,538964,190-194
200501,3,A,205-209,3201,662805,205-209
200501,3,A,225-229,1723,390769,Mas de 219
200501,4,D,160-164,2101,340765,Menos de 165
200501,3,A,125-129,50,6369,Menos de 165
200501,4,D,165-169,2347,392235,165-169
200501,2,A,240-244,5,1211,Mas de 219
200501,2,A,135-139,4,547,Menos de 165
200501,3,A,245-249,639,157633,Mas de 219
200501,3,A,215-219,2306,500207,215-219
200501,2,D,130-134,120,15848,Menos de 165
200501,3,D,240-244,119,28762,Mas de 219
200501,2,A,175-179,602,106696,175-179
200501,4,A,155-159,292,45923,Menos de 165
200501,2,D,150-154,898,136453,Menos de 165
200501,2,D,Menor que 120,8,943,Mas de 219
200501,2,A,205-209,336,69492,205-209
200501,2,A,225-229,24,5443,Mas de 219
200501,2,D,180-184,1337,243315,180-184
200501,3,A,255-259,249,64038,Mas de 219
200501,4,A,235-239,1465,346955,Mas de 219
200501,4,D,210-214,1264,267818,210-214
200501,3,D,Menor que 120,832,92032,Mas de 219
200501,4,D,230-234,456,105725,Mas de 219
200501,3,A,145-149,283,41665,Menos de 165
200501,4,D,155-159,1922,302031,Menos de 165
200501,2,D,175-179,1227,217227,175-179
200501,3,A,170-174,1132,194695,170-174
200501,4,A,150-154,157,23891,Menos de 165
200501,3,D,260-264,19,4971,Mas de 219
200501,3,A,Mas de 264,244,66192,Mas de 219
200501,3,D,225-229,399,90593,Mas de 219
200501,4,A,180-184,1436,261404,180-184
200501,2,D,235-239,1,235,Mas de 219
200501,4,A,190-194,1897,364218,190-194
200501,3,A,135-139,103,14127,Menos de 165
200501,3,D,130-134,1047,138474,Menos de 165
200501,3,A,140-144,196,27848,Menos de 165
200501,2,A,150-154,31,4718,Menos de 165
200501,4,D,125-129,293,37342,Menos de 165
200501,2,A,130-134,2,264,Menos de 165
200501,3,D,245-249,88,21723,Mas de 219
200501,2,A,185-189,1061,198347,185-189
200501,3,D,150-154,2746,417690,Menos de 165
200501,3,A,175-179,1622,287196,175-179
200501,4,A,250-254,545,137270,Mas de 219
200501,3,D,195-199,1295,254969,195-199
200501,3,A,200-204,3466,699990,200-204
200501,3,D,155-159,3035,476688,Menos de 165
200501,3,D,185-189,2444,456921,185-189
200501,2,A,145-149,10,1474,Menos de 165
200501,3,D,205-209,961,198980,205-209
200501,3,A,160-164,643,104227,Menos de 165
200501,4,A,230-234,2016,467533,Mas de 219
200501,4,A,240-244,1093,264568,Mas de 219
200501,4,A,210-214,3174,672648,210-214
200501,4,A,120-124,3,365,Menos de 165
200501,4,D,220-224,900,199800,Mas de 219
200501,2,D,155-159,1358,213247,Menos de 165
200501,3,D,145-149,2482,364958,Menos de 165
200501,3,A,185-189,2123,397278,185-189
200501,4,D,250-254,70,17641,Mas de 219
200501,2,A,200-204,584,117894,200-204
200501,3,D,235-239,167,39539,Mas de 219
200501,4,D,215-219,1036,224693,215-219
200501,2,D,205-209,176,36403,205-209
200501,2,A,195-199,743,146401,195-199
200501,3,A,165-169,876,146326,165-169
200501,4,D,180-184,2959,538559,180-184
200501,4,A,260-264,185,48439,Mas de 219
200501,2,A,235-239,4,948,Mas de 219
200501,2,A,140-144,7,986,Menos de 165
200501,4,D,255-259,57,14620,Mas de 219
200501,3,D,Mas de 264,19,5149,Mas de 219
200501,2,D,230-234,4,924,Mas de 219
200501,2,D,210-214,126,26678,210-214
200501,3,A,130-134,71,9398,Menos de 165
200501,4,D,170-174,2548,438196,170-174
200501,3,D,140-144,1894,268936,Menos de 165
200501,3,A,Menor que 120,21,2385,Mas de 219
200501,3,A,155-159,451,70908,Menos de 165
200501,3,A,180-184,1867,340123,180-184
200501,2,D,185-189,864,161449,185-189
200501,2,D,145-149,587,86374,Menos de 165
200501,2,A,190-194,1177,225936,190-194
200501,4,A,245-249,789,194646,Mas de 219
200501,2,D,170-174,1830,314957,170-174
200501,4,D,240-244,207,50053,Mas de 219
200501,2,A,160-164,88,14286,Menos de 165
200501,4,D,135-139,629,86351,Menos de 165
200501,2,A,165-169,140,23415,165-169
200501,4,A,205-209,3728,771164,205-209
200501,3,D,160-164,3358,544232,Menos de 165
200501,4,A,125-129,6,770,Menos de 165
200501,4,D,175-179,2794,494341,175-179
200501,3,D,165-169,3886,648706,165-169
200501,4,A,185-189,1752,327684,185-189
200501,3,A,235-239,998,236542,Mas de 219
200501,3,D,120-124,500,61070,Menos de 165
200501,4,A,195-199,3468,683196,195-199
200501,3,D,200-204,1172,236731,200-204
200501,4,A,215-219,3228,700323,215-219
200501,3,D,210-214,771,163393,210-214
200501,4,D,Menor que 120,183,20363,Mas de 219
200501,3,D,230-234,271,62863,Mas de 219
200501,4,D,205-209,1702,352174,205-209
200501,4,D,225-229,644,146152,Mas de 219
200501,4,A,145-149,111,16349,Menos de 165
